Data_(Mes/Ano),Area_Desmatada_km2_Mes (Y),Preco_Soja (X1),Preco_Boi_Gordo (X2),Preco_Ouro (X3),Precipitacao_mm (X4),Focos_Queimada (X5),Num_Atuacoes (X6)
01/2024,118.86,452.62,249.65,324.38,130.43,2049,1085
02/2024,226.51,429.72,237.84,326.59,135.84,3157,983
03/2024,162.03,433.52,232.81,359.96,179.77,2654,921
04/2024,174.08,427.92,230.51,381.63,114.21,1117,1059
05/2024,501.71,474.49,226.92,392.35,19.33,1670,1308
06/2024,461.64,430.97,220.7,418.17,8.34,2842,1637
07/2024,669.29,411.08,229.27,444.70,2.35,11434,2434
08/2024,511.79,361.82,235.07,451.48,12.99,38266,3087
09/2024,568.93,372.09,255.45,461.47,33.05,41463,2905
10/2024,532.80,368.49,301.13,510.47,135.88,16169,2922
11/2024,180.49,365.51,338.76,509.58,131.48,14158,2435
12/2024,75.40,361.23,320.33,521.14,174.82,5367,1536
01/2025,180.15,377.85,324.95,526.09,212.32,1219,1008
02/2025,80.95,382.08,319.21,540.94,250.83,399,830
03/2025,141.37,369.34,312.47,572.93,263.42,772,942
04/2025,270.00,378.06,323.96,600.00,92.86,293,942
05/2025,960.30,387.65,308.15,605.21,32.21,836,1124
06/2025,457.61,383.52,313.51,577.03,22.63,1650,1474
07/2025,535.34,374.76,299.97,592.56,2.78,2183,1881
08/2025,319.32,372.96,307.25,601.99,5.83,6094,2528
09/2025,327.31,368.57,307.87,660.33,72.71,7211,2773
10/2025,228.93,365.82,310.51,691.56,120.65,7868,2760
11/2025,,361.02,322.52,703.85,156.33,4243,2208
